teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
07bed16fc4f5a2539b6eefecf39ba6a1,5,9,15,38,45,66,4,7,7,12,15,20
07c00aa368fbdfd3f383ba2d2408bdbb,0,0,0,8,8,8,1,1,2,7,7,7
07cb5f86508f146774a2fac4373a8e50,4,7,19,34,50,67,2,4,5,11,13,18
07d0060d9382413f653eee5156e58bb7,2,8,10,12,12,17,4,6,7,8,9,15
07d3161ac19ca3ed7d4f3139d84c1665,11,21,37,65,67,74,10,11,11,20,22,32
07d3f8a3a252bbc48fb8c73cdf288138,0,0,0,0,0,7,0,1,2,4,4,10
07d99b1fa593df553fa78fc34bd2cd7e,3,5,9,18,20,25,2,3,3,17,17,20
07db1867837112d542932d9ac94cc5a7,2,4,26,45,47,80,9,11,13,14,14,18
07dbd9a180c7cc69cada7b982c5ae82c,1,4,8,21,24,35,6,6,6,11,12,16
07e347dc66e3f04edac27712cd713b3c,3,5,9,19,21,32,7,8,8,11,13,17
07ead3fbf71cbc832a2811054e5595b4,0,0,0,0,0,0,0,0,0,0,0,1
07f1de397293d02ea1ee1a1be4434dd5,2,10,14,24,27,33,7,8,10,12,14,19
07fec1d7d9ed84c1be2787ad523e2cf8,4,6,10,14,14,14,4,6,6,10,10,10
080957f4f5d9e409f964ab391223b2ea,1,3,7,16,21,26,5,6,7,11,14,17
082bf524e7913866b072f72882181a13,2,10,25,37,40,45,3,4,5,8,9,17
0844578568e8aab33acbfbee9c00d164,0,0,1,1,1,1,0,0,0,0,0,0
084a8a9aa8cced9175bd07bc44998e75,1,5,9,27,39,42,0,1,2,5,8,9
084bbbfb4d7bbe0010c1493ce3c459ee,0,1,1,2,2,2,0,0,0,0,0,4
0852338ea83be1f28e600bd5ff0813e8,0,0,0,0,0,0,0,0,0,0,0,1
085eeb7fe92d282a86d1da9aea710221,0,0,0,0,0,1,0,0,0,0,0,1
086a5533c9385988f9144579629badb1,2,3,9,16,16,22,7,8,10,11,11,14
086db8e849450089570b296e29a27011,11,14,46,67,91,100,12,18,19,23,23,25
087f4b9832401f66fd7eaf07e4d4fe87,2,3,5,10,15,46,1,2,3,6,7,25
088484ba23ab72bdf0c5966a4226f5ee,0,0,0,0,0,3,0,0,0,0,2,11
0885bcb80685dab792ca2506bb3cc0e3,0,2,3,7,7,11,2,2,3,9,9,11
0888816c7793ad47a1ce4a195c164d4b,11,17,29,39,39,54,6,7,9,17,17,22
0893041ad047ffc989f18b0a3c4a1487,0,1,1,1,1,1,0,0,0,0,0,0
089ccffb58521d004e8bd55edb204708,0,0,0,0,0,0,0,0,0,0,0,2
089dcfca77e4029b0b2d4b4f9c2d6d23,2,14,34,45,45,87,5,8,10,15,15,26
